budget,noise,method,success_rate,mean_regret,posterior_contact_entropy,posterior_full_entropy,contact_probes,decor_probes
0,0.0,visual_only,0.0865,0.9135,3.5849625007212516,67.5849625007223,0.0,0.0
0,0.0,random,0.0805,0.9195,3.5849625007212516,67.5849625007223,0.0,0.0
0,0.0,dense_entropy,0.0895,0.9105,3.5849625007212516,67.5849625007223,0.0,0.0
0,0.0,dense_contact_only,0.081,0.919,3.5849625007212516,67.5849625007223,0.0,0.0
0,0.0,critical_cell_entropy,0.091,0.909,3.5849625007212516,67.5849625007223,0.0,0.0
0,0.0,contact_equivalence,0.0865,0.9135,3.5849625007212516,67.5849625007223,0.0,0.0
1,0.0,visual_only,0.084,0.916,3.5849625007212516,67.5849625007223,0.0,0.0
1,0.0,random,0.1505,0.8495,3.184925955205487,66.01492595520591,0.7075,0.2925
1,0.0,dense_entropy,0.0765,0.9235,3.5849625007212516,63.58496250072213,0.0,1.0
1,0.0,dense_contact_only,0.166,0.834,2.5849625007212316,66.58496250072226,1.0,0.0
1,0.0,critical_cell_entropy,0.1695,0.8305,3.2017039630488915,67.20170396304967,1.0,0.0
1,0.0,contact_equivalence,0.163,0.837,2.5849625007212316,66.58496250072226,1.0,0.0
2,0.0,visual_only,0.0935,0.9065,3.5849625007212516,67.5849625007223,0.0,0.0
2,0.0,random,0.2055,0.7945,2.8198752819038724,64.49187528190367,1.418,0.582
2,0.0,dense_entropy,0.0785,0.9215,3.5849625007212516,59.584962500721936,0.0,2.0
2,0.0,dense_contact_only,0.3185,0.6815,1.5849625007211863,65.5849625007222,2.0,0.0
2,0.0,critical_cell_entropy,0.2345,0.7655,2.797063455895097,66.79706345589429,2.0,0.0
2,0.0,contact_equivalence,0.3415,0.6585,1.5849625007211863,65.5849625007222,2.0,0.0
3,0.0,visual_only,0.0785,0.9215,3.5849625007212516,67.5849625007223,0.0,0.0
3,0.0,random,0.259,0.741,2.49299523546726,63.074995235466744,2.1455,0.8545
3,0.0,dense_entropy,0.0805,0.9195,3.5849625007212516,55.584962500721716,0.0,3.0
3,0.0,dense_contact_only,0.673,0.327,0.667,64.667,3.0,0.0
3,0.0,critical_cell_entropy,0.3325,0.6675,2.374273826080278,66.3742738260779,3.0,0.0
3,0.0,contact_equivalence,0.668,0.332,0.6725,64.6725,3.0,0.0
4,0.0,visual_only,0.077,0.923,3.5849625007212516,67.5849625007223,0.0,0.0
4,0.0,random,0.311,0.689,2.2063618014144333,61.594361801413996,2.847,1.153
4,0.0,dense_entropy,0.0855,0.9145,3.5849625007212516,51.584962500721474,0.0,4.0
4,0.0,dense_contact_only,1.0,0.0,0.0,64.0,4.0,0.0
4,0.0,critical_cell_entropy,0.4155,0.5845,1.9935,65.9935,4.0,0.0
4,0.0,contact_equivalence,1.0,0.0,0.0,64.0,4.0,0.0
5,0.0,visual_only,0.0755,0.9245,3.5849625007212516,67.5849625007223,0.0,0.0
5,0.0,random,0.357,0.643,1.9406830004625617,60.21668300046233,3.569,1.431
5,0.0,dense_entropy,0.0755,0.9245,3.5849625007212516,47.58496250072118,0.0,5.0
5,0.0,dense_contact_only,1.0,0.0,0.0,64.0,5.0,0.0
5,0.0,critical_cell_entropy,0.485,0.515,1.6773945659294076,65.67739456592916,5.0,0.0
5,0.0,contact_equivalence,1.0,0.0,0.0,64.0,5.0,0.0
6,0.0,visual_only,0.0895,0.9105,3.5849625007212516,67.5849625007223,0.0,0.0
6,0.0,random,0.428,0.572,1.7145185195629573,58.750518519562846,4.259,1.741
6,0.0,dense_entropy,0.083,0.917,3.5849625007212516,43.58496250072083,0.0,6.0
6,0.0,dense_contact_only,1.0,0.0,0.0,64.0,6.0,0.0
6,0.0,critical_cell_entropy,0.581,0.419,1.3131609503663504,65.31316095036682,6.0,0.0
6,0.0,contact_equivalence,1.0,0.0,0.0,64.0,6.0,0.0
7,0.0,visual_only,0.076,0.924,3.5849625007212516,67.5849625007223,0.0,0.0
7,0.0,random,0.483,0.517,1.4813651589234054,57.40536515892331,4.981,2.019
7,0.0,dense_entropy,0.0845,0.9155,3.5849625007212516,39.584962500720415,0.0,7.0
7,0.0,dense_contact_only,1.0,0.0,0.0,64.0,7.0,0.0
7,0.0,critical_cell_entropy,0.661,0.339,0.9995900448490178,64.99959004484852,7.0,0.0
7,0.0,contact_equivalence,1.0,0.0,0.0,64.0,7.0,0.0
8,0.0,visual_only,0.0795,0.9205,3.5849625007212516,67.5849625007223,0.0,0.0
8,0.0,random,0.5325,0.4675,1.2792336710072605,56.00723367100724,5.682,2.318
8,0.0,dense_entropy,0.0855,0.9145,3.5849625007212516,35.58496250071991,0.0,8.0
8,0.0,dense_contact_only,1.0,0.0,0.0,64.0,8.0,0.0
8,0.0,critical_cell_entropy,0.7425,0.2575,0.69,64.69,8.0,0.0
8,0.0,contact_equivalence,1.0,0.0,0.0,64.0,8.0,0.0
